speech_id,embedding_path,sentence_count
1000000004,data/processed/deberta_embeddings/sentence_cls/1000000004.npy,1
1000000005,data/processed/deberta_embeddings/sentence_cls/1000000005.npy,3
1000000006,data/processed/deberta_embeddings/sentence_cls/1000000006.npy,1
1000000007,data/processed/deberta_embeddings/sentence_cls/1000000007.npy,5
1000000010,data/processed/deberta_embeddings/sentence_cls/1000000010.npy,4
1000000040,data/processed/deberta_embeddings/sentence_cls/1000000040.npy,2
1000000044,data/processed/deberta_embeddings/sentence_cls/1000000044.npy,1
1000000048,data/processed/deberta_embeddings/sentence_cls/1000000048.npy,1
1000000054,data/processed/deberta_embeddings/sentence_cls/1000000054.npy,1
1000000059,data/processed/deberta_embeddings/sentence_cls/1000000059.npy,5
1000000060,data/processed/deberta_embeddings/sentence_cls/1000000060.npy,7
1000000109,data/processed/deberta_embeddings/sentence_cls/1000000109.npy,3
1000000116,data/processed/deberta_embeddings/sentence_cls/1000000116.npy,1
1000000118,data/processed/deberta_embeddings/sentence_cls/1000000118.npy,1
1000000119,data/processed/deberta_embeddings/sentence_cls/1000000119.npy,1
1000000132,data/processed/deberta_embeddings/sentence_cls/1000000132.npy,1
1000000138,data/processed/deberta_embeddings/sentence_cls/1000000138.npy,1
1000000141,data/processed/deberta_embeddings/sentence_cls/1000000141.npy,5
1000000145,data/processed/deberta_embeddings/sentence_cls/1000000145.npy,1
1000000148,data/processed/deberta_embeddings/sentence_cls/1000000148.npy,5
1000000149,data/processed/deberta_embeddings/sentence_cls/1000000149.npy,9
1000000151,data/processed/deberta_embeddings/sentence_cls/1000000151.npy,4
1000000158,data/processed/deberta_embeddings/sentence_cls/1000000158.npy,1
1000000161,data/processed/deberta_embeddings/sentence_cls/1000000161.npy,1
1000000168,data/processed/deberta_embeddings/sentence_cls/1000000168.npy,2
1000000171,data/processed/deberta_embeddings/sentence_cls/1000000171.npy,14
1000000178,data/processed/deberta_embeddings/sentence_cls/1000000178.npy,1
1000000213,data/processed/deberta_embeddings/sentence_cls/1000000213.npy,1
1000000234,data/processed/deberta_embeddings/sentence_cls/1000000234.npy,1
1000000267,data/processed/deberta_embeddings/sentence_cls/1000000267.npy,6
1000000268,data/processed/deberta_embeddings/sentence_cls/1000000268.npy,1
1000000269,data/processed/deberta_embeddings/sentence_cls/1000000269.npy,3
1000000280,data/processed/deberta_embeddings/sentence_cls/1000000280.npy,1
1000000286,data/processed/deberta_embeddings/sentence_cls/1000000286.npy,1
1000000315,data/processed/deberta_embeddings/sentence_cls/1000000315.npy,1
1000000319,data/processed/deberta_embeddings/sentence_cls/1000000319.npy,24
1000000320,data/processed/deberta_embeddings/sentence_cls/1000000320.npy,1
1000000329,data/processed/deberta_embeddings/sentence_cls/1000000329.npy,3
1000000331,data/processed/deberta_embeddings/sentence_cls/1000000331.npy,1
1000000332,data/processed/deberta_embeddings/sentence_cls/1000000332.npy,2
1000000341,data/processed/deberta_embeddings/sentence_cls/1000000341.npy,1
1000000342,data/processed/deberta_embeddings/sentence_cls/1000000342.npy,1
1000000344,data/processed/deberta_embeddings/sentence_cls/1000000344.npy,1
1000000345,data/processed/deberta_embeddings/sentence_cls/1000000345.npy,1
1000000347,data/processed/deberta_embeddings/sentence_cls/1000000347.npy,2
1000000349,data/processed/deberta_embeddings/sentence_cls/1000000349.npy,1
1000000350,data/processed/deberta_embeddings/sentence_cls/1000000350.npy,1
1000000351,data/processed/deberta_embeddings/sentence_cls/1000000351.npy,2
1000000353,data/processed/deberta_embeddings/sentence_cls/1000000353.npy,3
1000000354,data/processed/deberta_embeddings/sentence_cls/1000000354.npy,2
1000000358,data/processed/deberta_embeddings/sentence_cls/1000000358.npy,2
1000000360,data/processed/deberta_embeddings/sentence_cls/1000000360.npy,2
1000000362,data/processed/deberta_embeddings/sentence_cls/1000000362.npy,2
1000000371,data/processed/deberta_embeddings/sentence_cls/1000000371.npy,1
1000000377,data/processed/deberta_embeddings/sentence_cls/1000000377.npy,1
1000000384,data/processed/deberta_embeddings/sentence_cls/1000000384.npy,1
1000000387,data/processed/deberta_embeddings/sentence_cls/1000000387.npy,3
1000000391,data/processed/deberta_embeddings/sentence_cls/1000000391.npy,2
1000000395,data/processed/deberta_embeddings/sentence_cls/1000000395.npy,2
1000000398,data/processed/deberta_embeddings/sentence_cls/1000000398.npy,6
1000000403,data/processed/deberta_embeddings/sentence_cls/1000000403.npy,3
1000000409,data/processed/deberta_embeddings/sentence_cls/1000000409.npy,3
1000000412,data/processed/deberta_embeddings/sentence_cls/1000000412.npy,1
1000000415,data/processed/deberta_embeddings/sentence_cls/1000000415.npy,4
1000000432,data/processed/deberta_embeddings/sentence_cls/1000000432.npy,6
1000000434,data/processed/deberta_embeddings/sentence_cls/1000000434.npy,1
1000000452,data/processed/deberta_embeddings/sentence_cls/1000000452.npy,1
1000000463,data/processed/deberta_embeddings/sentence_cls/1000000463.npy,1
1000000465,data/processed/deberta_embeddings/sentence_cls/1000000465.npy,3
1000000466,data/processed/deberta_embeddings/sentence_cls/1000000466.npy,2
1000000474,data/processed/deberta_embeddings/sentence_cls/1000000474.npy,2
1000000479,data/processed/deberta_embeddings/sentence_cls/1000000479.npy,8
1000000483,data/processed/deberta_embeddings/sentence_cls/1000000483.npy,1
1000000484,data/processed/deberta_embeddings/sentence_cls/1000000484.npy,1
1000000507,data/processed/deberta_embeddings/sentence_cls/1000000507.npy,1
1000000510,data/processed/deberta_embeddings/sentence_cls/1000000510.npy,1
1000000520,data/processed/deberta_embeddings/sentence_cls/1000000520.npy,2
1000000521,data/processed/deberta_embeddings/sentence_cls/1000000521.npy,4
1000000523,data/processed/deberta_embeddings/sentence_cls/1000000523.npy,1
1000000531,data/processed/deberta_embeddings/sentence_cls/1000000531.npy,1
1000000538,data/processed/deberta_embeddings/sentence_cls/1000000538.npy,2
1000000541,data/processed/deberta_embeddings/sentence_cls/1000000541.npy,9
1000000547,data/processed/deberta_embeddings/sentence_cls/1000000547.npy,1
1000000564,data/processed/deberta_embeddings/sentence_cls/1000000564.npy,1
1000000571,data/processed/deberta_embeddings/sentence_cls/1000000571.npy,1
1000000577,data/processed/deberta_embeddings/sentence_cls/1000000577.npy,1
1000000584,data/processed/deberta_embeddings/sentence_cls/1000000584.npy,1
1000000591,data/processed/deberta_embeddings/sentence_cls/1000000591.npy,3
1000000592,data/processed/deberta_embeddings/sentence_cls/1000000592.npy,2
1000000595,data/processed/deberta_embeddings/sentence_cls/1000000595.npy,1
1000000608,data/processed/deberta_embeddings/sentence_cls/1000000608.npy,1
1000000616,data/processed/deberta_embeddings/sentence_cls/1000000616.npy,1
1000000638,data/processed/deberta_embeddings/sentence_cls/1000000638.npy,4
1000000640,data/processed/deberta_embeddings/sentence_cls/1000000640.npy,3
1000000642,data/processed/deberta_embeddings/sentence_cls/1000000642.npy,2
1000000648,data/processed/deberta_embeddings/sentence_cls/1000000648.npy,1
1000000649,data/processed/deberta_embeddings/sentence_cls/1000000649.npy,1
1000000650,data/processed/deberta_embeddings/sentence_cls/1000000650.npy,1
1000000653,data/processed/deberta_embeddings/sentence_cls/1000000653.npy,2
1000000661,data/processed/deberta_embeddings/sentence_cls/1000000661.npy,2
1000000668,data/processed/deberta_embeddings/sentence_cls/1000000668.npy,3
1000000675,data/processed/deberta_embeddings/sentence_cls/1000000675.npy,3
1000000678,data/processed/deberta_embeddings/sentence_cls/1000000678.npy,1
1000000679,data/processed/deberta_embeddings/sentence_cls/1000000679.npy,3
1000000680,data/processed/deberta_embeddings/sentence_cls/1000000680.npy,5
1000000686,data/processed/deberta_embeddings/sentence_cls/1000000686.npy,1
1000000690,data/processed/deberta_embeddings/sentence_cls/1000000690.npy,2
1000000693,data/processed/deberta_embeddings/sentence_cls/1000000693.npy,1
1000000702,data/processed/deberta_embeddings/sentence_cls/1000000702.npy,1
1000000703,data/processed/deberta_embeddings/sentence_cls/1000000703.npy,2
1000000710,data/processed/deberta_embeddings/sentence_cls/1000000710.npy,2
1000000713,data/processed/deberta_embeddings/sentence_cls/1000000713.npy,8
1000000721,data/processed/deberta_embeddings/sentence_cls/1000000721.npy,2
1000000725,data/processed/deberta_embeddings/sentence_cls/1000000725.npy,1
1000000728,data/processed/deberta_embeddings/sentence_cls/1000000728.npy,1
1000000729,data/processed/deberta_embeddings/sentence_cls/1000000729.npy,2
1000000730,data/processed/deberta_embeddings/sentence_cls/1000000730.npy,1
1000000732,data/processed/deberta_embeddings/sentence_cls/1000000732.npy,2
1000000733,data/processed/deberta_embeddings/sentence_cls/1000000733.npy,3
1000000735,data/processed/deberta_embeddings/sentence_cls/1000000735.npy,5
1000000737,data/processed/deberta_embeddings/sentence_cls/1000000737.npy,1
1000000739,data/processed/deberta_embeddings/sentence_cls/1000000739.npy,1
1000000754,data/processed/deberta_embeddings/sentence_cls/1000000754.npy,2
1000000755,data/processed/deberta_embeddings/sentence_cls/1000000755.npy,2
1000000756,data/processed/deberta_embeddings/sentence_cls/1000000756.npy,2
1000000757,data/processed/deberta_embeddings/sentence_cls/1000000757.npy,1
1000000758,data/processed/deberta_embeddings/sentence_cls/1000000758.npy,1
1000000761,data/processed/deberta_embeddings/sentence_cls/1000000761.npy,1
1000000762,data/processed/deberta_embeddings/sentence_cls/1000000762.npy,1
1000000763,data/processed/deberta_embeddings/sentence_cls/1000000763.npy,2
1000000765,data/processed/deberta_embeddings/sentence_cls/1000000765.npy,2
1000000769,data/processed/deberta_embeddings/sentence_cls/1000000769.npy,1
1000000771,data/processed/deberta_embeddings/sentence_cls/1000000771.npy,1
1000000773,data/processed/deberta_embeddings/sentence_cls/1000000773.npy,1
1000000778,data/processed/deberta_embeddings/sentence_cls/1000000778.npy,1
1000000780,data/processed/deberta_embeddings/sentence_cls/1000000780.npy,1
1000000781,data/processed/deberta_embeddings/sentence_cls/1000000781.npy,1
1000000783,data/processed/deberta_embeddings/sentence_cls/1000000783.npy,1
1000000784,data/processed/deberta_embeddings/sentence_cls/1000000784.npy,1
1000000790,data/processed/deberta_embeddings/sentence_cls/1000000790.npy,2
1000000791,data/processed/deberta_embeddings/sentence_cls/1000000791.npy,1
1000000794,data/processed/deberta_embeddings/sentence_cls/1000000794.npy,1
1000000795,data/processed/deberta_embeddings/sentence_cls/1000000795.npy,1
1000000796,data/processed/deberta_embeddings/sentence_cls/1000000796.npy,6
1000000797,data/processed/deberta_embeddings/sentence_cls/1000000797.npy,1
1000000798,data/processed/deberta_embeddings/sentence_cls/1000000798.npy,2
1000000801,data/processed/deberta_embeddings/sentence_cls/1000000801.npy,3
1000000802,data/processed/deberta_embeddings/sentence_cls/1000000802.npy,1
1000000808,data/processed/deberta_embeddings/sentence_cls/1000000808.npy,9
1000000809,data/processed/deberta_embeddings/sentence_cls/1000000809.npy,1
1000000810,data/processed/deberta_embeddings/sentence_cls/1000000810.npy,4
1000000811,data/processed/deberta_embeddings/sentence_cls/1000000811.npy,1
1000000814,data/processed/deberta_embeddings/sentence_cls/1000000814.npy,2
1000000815,data/processed/deberta_embeddings/sentence_cls/1000000815.npy,1
1000000818,data/processed/deberta_embeddings/sentence_cls/1000000818.npy,2
